2020-03-18,SŽ - Železniški zdravstveni dom Ljubljana,ljubljana_sž,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,3,2,15,0,0,0,10
2020-03-18,ZRCK,zrck,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,12,4,3,0,0,3,1
2020-03-18,Zdravstveni dom Ajdovščina,ajdovščina,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,23,2,19,2,0,1,12
2020-03-18,Zdravstveni dom Bohinj,bohinj,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,8,6,27,0,0,0,8
2020-03-18,Zdravstveni dom Brežice,brežice,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,7,32,5,9,0,2,2
2020-03-18,Zdravstveni dom Celje (podatki pri SB CE),celje,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,0,,0,5,0,0,15
2020-03-18,Zdravstveni dom Domžale,domžale,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,82,69,0,10,0,4,65
2020-03-18,Zdravstveni dom Dravograd,dravograd,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,14,0,12,1,0,0,12
2020-03-18,Zdravstveni dom Gornja Radgona,gornja_radgona,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,8,0,13,0,,3,12
2020-03-18,Zdravstveni dom Grosuplje,grosuplje,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,8,5,9,0,0,0,14
2020-03-18,Zdravstveni dom Hrastnik,hrastnik,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,9,0,0,0,0,0,5
2020-03-18,Zdravstveni dom Idrija,idrija,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,15,3,115,1,0,0,4
2020-03-18,Zdravstveni dom Ilirska Bistrica,ilirska_bistrica,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,40,0,47,5,,0,15
2020-03-18,Zdravstveni dom Ivančna Gorica,ivančna_gorica,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,4,4,5,4,1,0,9
2020-03-18,Zdravstveni dom Izola,izola,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,4,2,11,1,0,0,13
2020-03-18,Zdravstveni dom Jesenice,jesenice,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,40,24,86,13,1,5,24
2020-03-18,Zdravstveni dom Koper (CUS),koper,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,26,15,33,11,0,3,43
2020-03-18,Zdravstveni dom Kočevje,kočevje,"<Worksheet ""19.3."">",poročilo_ZD_19_3_2020_popr.xlsx,6,2,29,4,0,0,31
